127.0.0.1 - - [03/Mar/2024:14:05:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:05:08 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:05:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:05:15 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:05:15 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:06:23 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5563
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:06:46 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:15:17 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:15:18 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:15:19 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:15:19 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:15:23 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:16:49 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5627
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:16:51 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5627
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:16:52 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5627
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:17:11 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:17:12 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:18:46 +0530] "GET /criminal/register.jsp HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:20:03 +0530] "POST /criminal/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:20:03 +0530] "GET /criminal/register.jsp HTTP/1.1" 200 4490
0:0:0:0:0:0:0:1 - - [03/Mar/2024:14:20:06 +0530] "GET /criminal/register.jsp HTTP/1.1" 200 4331
