127.0.0.1 - - [16/Jun/2024:12:03:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:03:01 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:03:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:03:07 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:03:07 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:03:07 +0530] "GET /criminal/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:03:13 +0530] "GET /criminal/register.jsp HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:03:37 +0530] "POST /criminal/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:03:37 +0530] "GET /criminal/register.jsp HTTP/1.1" 200 4490
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:35:23 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:35:23 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:40:29 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:40:30 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:40:37 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:40:37 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:40:41 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:40:41 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:40:50 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:40:50 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:41:23 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:41:23 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:41:33 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:41:33 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:41:45 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:41:45 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3931
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:42:28 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:42:28 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:42:33 +0530] "GET /criminal/register.jsp HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:43:20 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:43:20 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:44:08 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2024:12:44:08 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
