127.0.0.1 - - [02/Mar/2024:12:44:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:44:40 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:44:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:44:49 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:44:49 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:44:49 +0530] "GET /criminal/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:44:54 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:44:54 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:44:57 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:44:57 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:52:06 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:52:11 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:52:12 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:52:36 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:52:37 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:55:00 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:55:02 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:55:03 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:55:25 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:55:31 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:55:31 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:55:35 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:56:39 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:56:40 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:56:41 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:56:41 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:56:42 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:31 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:32 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:34 +0530] "GET /criminal/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:34 +0530] "GET /criminal/login.jsp HTTP/1.1" 200 3932
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:37 +0530] "POST /criminal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:37 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:39 +0530] "GET /criminal/register.jsp HTTP/1.1" 200 4331
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:45 +0530] "GET /criminal/crimes.jsp HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:45 +0530] "GET /criminal/css/crimes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:55 +0530] "GET /criminal/fir.jsp HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:55 +0530] "GET /criminal/css/fir.css HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [02/Mar/2024:12:57:59 +0530] "GET /criminal/criminals.jsp HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [02/Mar/2024:13:00:19 +0530] "GET /criminal/index.jsp HTTP/1.1" 200 5602
